iter	RMSE
173	0.3490325689
174	0.3489561112
175	0.3488544343
176	0.3487184663
177	0.3486285671
178	0.3484986751
179	0.3483767404
180	0.3482661722
181	0.3481682019
182	0.3481077844
183	0.347969842
184	0.3478954844
185	0.3476696968
186	0.3474377116
187	0.3472981499
188	0.3471926304
189	0.3471071716
190	0.3470026325
191	0.3469125919
192	0.3468190577
193	0.3467191297
194	0.346502847
195	0.3463511067
196	0.3462932449
197	0.3462078397
198	0.3460981581
199	0.3460148915
200	0.3458772091
201	0.3458093065
202	0.3457293286
203	0.3455693157
204	0.3454284322
205	0.3453390354
206	0.3452318047
207	0.3451513409
208	0.3450779983
209	0.3449748453
210	0.3448931564
211	0.3448251857
212	0.3447116772
213	0.3446405465
214	0.3445688848
215	0.344496605
216	0.3444328234
217	0.3442866194
218	0.3441505485
219	0.3440559547
220	0.3439323425
221	0.3438528061
222	0.3437770902
223	0.3437023191
224	0.3436324228
225	0.3435406408
226	0.3434715785
227	0.3433318539
228	0.3432095252
229	0.3431150985
230	0.3430085762
231	0.3428768977
232	0.3427671281
233	0.3427087195
234	0.3425607996
235	0.342452795
236	0.342306234
237	0.3422121158
238	0.3421285075
239	0.3420633073
240	0.3419182013
241	0.3418564258
242	0.3417570544
243	0.341642356
244	0.3414849436
245	0.3413983039
246	0.3413387845
247	0.3412613414
248	0.3411682081
249	0.3410900424
250	0.3410429998
251	0.3409495867
252	0.3408485698
253	0.3407359585
254	0.3406390624
255	0.3405521567
256	0.3404683545
257	0.3403555947
258	0.3402650703
259	0.3401806258
260	0.3400564029
261	0.3399818866
262	0.3399181291
263	0.3398610087
264	0.3397809706
265	0.339686564
266	0.3396215839
267	0.3395167129
268	0.3393671348
269	0.3392846684
270	0.3392186813
271	0.3390918125
272	0.3390124755
273	0.3389116386
274	0.3388240092
275	0.3387540067
276	0.3386681545
277	0.3385428516
278	0.3384675049
279	0.338391151
280	0.3383250979
281	0.3382247909
282	0.3381622415
283	0.3380676148
284	0.337968442
285	0.3378657871
286	0.3377920452
287	0.3377513666
288	0.3376599063
289	0.3375650113
290	0.3373814518
291	0.3372384466
292	0.3371642402
293	0.3370717334
294	0.3369636001
295	0.3368604579
296	0.3367799486
297	0.3366575788
298	0.336593965
299	0.3364653653
300	0.3363964149
301	0.33628965
302	0.3362098197
303	0.3361525902
304	0.3360643498
305	0.3359861723
306	0.3358945505
307	0.3358199333
308	0.3357412978
309	0.335624276
310	0.3355390812
311	0.3354825701
312	0.3353901459
313	0.335276264
314	0.3351962147
315	0.3350560629
316	0.3349718506
317	0.3349186569
318	0.3348316924
319	0.3347426656
320	0.3346960055
321	0.3346379064
322	0.3345247379
323	0.334472248
324	0.3344023875
325	0.3342893101
326	0.3342058366
327	0.3341206641
328	0.3340598804
329	0.3339684765
330	0.3338614683
331	0.3337931334
332	0.333677872
333	0.3336030794
334	0.3334887095
335	0.333405688
336	0.3332792734
337	0.3331937134
338	0.3331492028
339	0.3330390366
340	0.3329225972
341	0.3328580425
342	0.3328099545
343	0.3327379044
344	0.3326914125
345	0.3326290862
346	0.3325387726
347	0.3324558021
348	0.3323639631
349	0.3322642573
350	0.3321792591
351	0.3320301762
352	0.3319942932
353	0.3318817012
354	0.3317797681
355	0.3317061655
356	0.331618404
357	0.3315203406
358	0.3314159562
359	0.3313564773
360	0.3312770375
361	0.331176891
362	0.331077928
363	0.3310363483
364	0.330944521
365	0.3308507411
366	0.3307917915
367	0.3306671556
368	0.3306229104
369	0.3305012208
370	0.3304384325
371	0.3302986585
372	0.33015996
373	0.3300797352
374	0.3300486629
375	0.3299955676
376	0.3298948074
377	0.3298579119
378	0.3297937456
379	0.3297306054
380	0.3296824728
381	0.3296327856
382	0.3295625774
383	0.3295100883
384	0.329461323
385	0.329307833
386	0.3292305137
387	0.3291797315
388	0.3291258922
389	0.3290321257
390	0.3288934632
391	0.328809887
392	0.3287536853
393	0.3286609709
394	0.3285827087
395	0.3285151759
396	0.3283753636
397	0.3282456709
398	0.3281794758
399	0.3281307332
400	0.3280574444
401	0.3279789147
402	0.3279377739
403	0.3279106857
404	0.3278604481
405	0.3277790016
406	0.3277385951
407	0.327675441
408	0.3275997895
409	0.3275314427
410	0.3274470598
411	0.3274090333
412	0.327334736
413	0.3272345989
414	0.3270941014
415	0.3270415577
416	0.3269041008
417	0.3268091388
418	0.3266964429
419	0.3265728159
420	0.3265008799
421	0.3264184421
422	0.3263508105
423	0.326287219
424	0.3262498229
425	0.3261329221
426	0.3261033725
427	0.3260904207
428	0.3260327341
429	0.3259947534
430	0.3259083179
431	0.3258119476
432	0.3257297478
433	0.3256772539
434	0.3256201418
435	0.3255299577
436	0.3254777743
437	0.3254589925
438	0.3254228397
439	0.3252562394
440	0.3251638424
441	0.3250793415
442	0.3250033262
443	0.3249225822
444	0.3248458828
445	0.3247653165
446	0.3246750276
447	0.3246404927
448	0.3245471316
449	0.3244418036
450	0.3243942988
451	0.3243266935
452	0.3242395956
453	0.3241231313
454	0.3240731652
455	0.3239991515
456	0.3238761201
457	0.3238277463
458	0.3236801202
459	0.3235461702
460	0.3234929141
461	0.3234255468
462	0.3233321489
463	0.3232510362
464	0.3232043514
465	0.3231165581
466	0.3230073639
467	0.3228998644
468	0.3228295762
469	0.3227081386
470	0.3226406768
471	0.3225363605
472	0.3224425566
473	0.3223298585
474	0.322280991
475	0.3221804527
476	0.3220982935
477	0.3220212761
478	0.3219245273
479	0.3218535114
480	0.3217895282
481	0.3217425297
482	0.3216703997
483	0.3215406679
484	0.3214720195
485	0.3213873649
486	0.3213493122
487	0.3212283212
488	0.3212002653
489	0.3211528688
490	0.3211043003
491	0.3210534152
492	0.3209947735
493	0.3209471338
494	0.3209077633
495	0.3208316853
496	0.3207717154
497	0.3207064969
498	0.3206640265
499	0.3205511218
500	0.3204859699
501	0.320338239
502	0.320209193
503	0.3201028495
504	0.3200401692
505	0.3199822239
506	0.3199066057
507	0.3198200599
508	0.3197518352
509	0.3196473814
510	0.3195748979
511	0.3195222392
512	0.3194354218
513	0.3193618999
514	0.3192950135
515	0.319212485
516	0.3191605427
517	0.3190323331
518	0.3189552778
519	0.3189183336
520	0.3188974961
521	0.3188169107
522	0.3187591544
523	0.318674691
524	0.3185639627
525	0.3185203358
526	0.3184873136
527	0.3184306573
528	0.3183948532
529	0.3183337895
530	0.3182194571
531	0.31813333
532	0.31806921
533	0.3180031901
534	0.3179502464
535	0.3179120584
536	0.3178773009
537	0.3177730744
538	0.3177109792
539	0.3176503697
540	0.3176012975
541	0.3174980458
542	0.3174432138
543	0.3174174966
544	0.3173405427
545	0.3172836415
546	0.3171932329
547	0.3171724762
548	0.3170756077
549	0.3170329319
550	0.3170001107
551	0.3168767845
552	0.316764606
553	0.3167318454
554	0.3166932991
555	0.3165928692
556	0.3165501812
557	0.3165314038
558	0.3164543992
559	0.316393944
560	0.3163215583
561	0.3162801374
562	0.316253512
563	0.3161599177
564	0.3161208072
565	0.3160656993
566	0.3159411727
567	0.315828971
568	0.315760317
569	0.31566989
570	0.3155906394
571	0.3154735951
572	0.3154154214
573	0.3153600642
574	0.3153066567
575	0.3152395119
576	0.3151861993
577	0.315126486
578	0.3150434323
579	0.3149782896
580	0.3149087305
581	0.3147907556
582	0.3147125715
583	0.3146632394
584	0.3145982454
585	0.3145022696
586	0.3144794798
587	0.3144251731
588	0.3143726537
589	0.3143097685
590	0.3142663909
591	0.3142101093
592	0.3141639796
593	0.3140811685
594	0.3140218525
595	0.3139679115
596	0.3139228708
597	0.3138775376
598	0.3138389949
599	0.3137190089
600	0.3136738519
601	0.3135829138
602	0.313537429
603	0.3133736899
604	0.3132764796
605	0.3131807684
606	0.3131054276
607	0.3130749847
608	0.3130070787
609	0.3129206226
610	0.3128544004
611	0.3127876408
612	0.3127380963
613	0.3126402371
614	0.3125880138
615	0.3125538848
616	0.3124784751
617	0.3124275918
618	0.3123687085
619	0.3122930834
620	0.3121789952
621	0.3120909537
622	0.3120248497
623	0.3119122663
624	0.3118245049
625	0.3117633626
626	0.3116905263
627	0.3116274679
628	0.3115221628
629	0.3114687024
630	0.3114125304
631	0.3113700928
632	0.3113122583
633	0.3112485491
634	0.3112168622
635	0.3111622394
636	0.3111298224
637	0.3110697095
638	0.3109962072
639	0.3108687196
640	0.3108186341
641	0.3107548374
642	0.3107107793
643	0.3106008809
644	0.3105498241
645	0.3104276736
646	0.3103500176
647	0.3102982271
648	0.3101907665
649	0.3100511572
650	0.3100026431
651	0.3099511136
652	0.3098899026
653	0.3097874954
654	0.3096887961
655	0.3096127211
656	0.3095484608
657	0.309475961
658	0.3094451799
659	0.3093923593
660	0.3093181389
661	0.3092057312
662	0.3091545187
663	0.309111901
664	0.3090571891
665	0.3089949642
666	0.3089339217
667	0.3088563505
668	0.3087521806
669	0.308701621
670	0.3086553606
671	0.3085966247
672	0.3085582558
673	0.3084605191
674	0.3083840479
675	0.3083157224
676	0.308288624
677	0.3081898343
678	0.3080777237
679	0.3079708064
680	0.3079146237
681	0.3078447149
682	0.3078090856
683	0.3077726856
684	0.3077302584
685	0.3076291839
686	0.3076013559
687	0.3075293501
688	0.3074516848
689	0.3073902715
690	0.3073387762
691	0.3072599209
692	0.3072094595
693	0.307142563
694	0.3070675629
695	0.3069975259
696	0.3069471673
697	0.3069118166
698	0.3068684686
699	0.3068202435
700	0.3067659701
701	0.3067049188
702	0.3066560943
703	0.3065945645
704	0.3065066875
705	0.3064297152
706	0.306348912
707	0.3062643605
708	0.3061705583
709	0.3060525106
710	0.3059820617
711	0.3059284941
712	0.3058707998
713	0.3057824846
714	0.3056898317
715	0.3055575698
716	0.3054983966
717	0.3054323093
718	0.3053922902
719	0.3053572175
720	0.3053120737
721	0.3052704006
722	0.3052394517
723	0.3052044856
724	0.3051297335
725	0.305025425
726	0.3049915698
727	0.3049356871
728	0.3048702489
729	0.3048132731
730	0.3047573553
731	0.3046889301
732	0.3045954589
733	0.3045238726
734	0.3044378147
735	0.304401871
736	0.3043203515
737	0.304234726
738	0.3041553097
739	0.3041172842
740	0.304084113
741	0.3040205135
742	0.3039538698
743	0.3038827283
744	0.3038318051
745	0.3037462489
746	0.3036485773
747	0.3035639126
748	0.3034855735
749	0.3033958765
750	0.3033477399
751	0.3032728336
752	0.3031581851
753	0.30309882
754	0.3030601671
755	0.3029820244
756	0.3029347882
757	0.3028728917
758	0.3028391826
759	0.3028193579
760	0.3027835221
761	0.3027266317
762	0.3026349172
763	0.302567547
764	0.302515106
765	0.3024777642
766	0.3023911653
767	0.3023311853
768	0.3022884286
769	0.3022283676
770	0.3021554327
771	0.3020940557
772	0.3019822979
773	0.301906124
774	0.3018440506
775	0.3017897213
776	0.3017515623
777	0.3017129433
778	0.3016294546
779	0.3015157949
780	0.3014792981
781	0.3014279858
782	0.3013732477
783	0.3012915633
784	0.3012007664
785	0.3011527848
786	0.3010749293
787	0.3010100672
788	0.3009836699
789	0.3008643733
790	0.3008386821
791	0.3007573185
792	0.3006899559
793	0.3006433971
794	0.3005582367
795	0.3005158677
796	0.3004703816
797	0.3003656314
798	0.3003041438
799	0.3002578903
800	0.3001763416
801	0.3001160706
802	0.3000412554
803	0.3000180983
804	0.299937701
805	0.2998564312
806	0.2998344144
807	0.299781242
808	0.2997135276
809	0.2996607624
810	0.2995767958
811	0.2995298003
812	0.2994109019
813	0.2993571777
814	0.2993239651
815	0.2993016552
816	0.2992428175
817	0.2991862568
818	0.2991240683
819	0.2990624209
820	0.2990148843
821	0.2989240623
822	0.2988672113
823	0.2987995727
824	0.2987556743
825	0.2987147787
826	0.298664096
827	0.2986289976
828	0.2985594794
829	0.2984993696
830	0.2984396017
831	0.2983867632
832	0.2983329522
833	0.2982862621
834	0.2982212524
835	0.2981535065
836	0.2980933462
837	0.2979837839
838	0.2979453423
839	0.2979197274
840	0.2978659941
841	0.2977887116
842	0.29773959
843	0.2977077704
844	0.2976481209
845	0.2975895099
846	0.2975297383
847	0.2974623592
848	0.2974201348
849	0.2973724301
850	0.2973250955
851	0.2973031402
852	0.2972269124
853	0.2971727542
854	0.2971050528
855	0.297060875
856	0.2969963434
857	0.2969539102
858	0.2968848131
859	0.2967811661
860	0.2967554963
861	0.296704916
862	0.2966455856
863	0.2965355172
864	0.2964638914
865	0.2963989954
866	0.2962915247
867	0.296267009
868	0.2962173409
869	0.2961561304
870	0.296083296
871	0.2959939447
872	0.2958967777
873	0.2958032849
874	0.2957618214
875	0.2957417859
876	0.2956994851
877	0.2956591398
878	0.2956047538
879	0.2954976885
880	0.295390125
881	0.295318364
882	0.2952484906
883	0.2951995632
884	0.2951714781
885	0.2951406775
886	0.295120392
887	0.2950612154
888	0.2949867997
889	0.2949317277
890	0.2948839842
891	0.2948268265
892	0.2947645379
893	0.2946981218
894	0.2946313045
895	0.2945718106
896	0.294534762
897	0.2945016749
898	0.2944042839
899	0.2943521212
900	0.294292617
901	0.2942429429
902	0.2941629804
903	0.2941055929
904	0.2940505125
905	0.2939636378
906	0.2939102682
907	0.293869277
908	0.2938330205
909	0.29374607
910	0.2936978211
911	0.293651316
912	0.2935864476
913	0.2935000471
914	0.2934768857
915	0.2934394002
916	0.2933624937
917	0.293273804
918	0.2932222079
919	0.2931528297
920	0.2930800551
921	0.2930223215
922	0.2930014741
923	0.2929027037
924	0.2928549273
925	0.2928147071
926	0.29274251
927	0.2927046991
928	0.2926253511
929	0.2925677907
930	0.2925061843
931	0.2924486523
932	0.2924149446
933	0.2923693099
934	0.2923033421
935	0.2922461389
936	0.2922175496
937	0.2921364622
938	0.2920257534
939	0.2919388641
940	0.2918631144
941	0.2917994022
942	0.291729772
943	0.291674296
944	0.291607507
945	0.2915763016
946	0.2915132006
947	0.2914667956
948	0.2914060226
949	0.2913583634
950	0.2913107911
951	0.2912739732
952	0.2912130222
953	0.2911793502
954	0.2911430455
955	0.2911004617
956	0.2910145953
957	0.2909867888
958	0.290912031
959	0.2908683218
960	0.2908043797
961	0.2907624193
962	0.2906643747
963	0.2906094922
964	0.2905624897
965	0.2905032848
966	0.2904401695
967	0.2903924524
968	0.2903517272
969	0.290305776
970	0.2902733383
971	0.2902022436
972	0.2901097751
973	0.2900484428
974	0.2899998959
975	0.2899923928
976	0.289962015
977	0.2898852142
978	0.2897838226
979	0.2897325579
980	0.2896389404
981	0.2895661365
982	0.2895022042
983	0.2894520434
984	0.2894085734
985	0.289373657
986	0.2893341418
987	0.2892418409
988	0.2891927755
989	0.2891658192
990	0.2890912439
991	0.2890358731
992	0.2889472631
993	0.2888960604
994	0.2888247307
995	0.2887421902
996	0.2886817843
997	0.2886059539
998	0.2885406139
999	0.2884778581
